Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL2172370,N#Cc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,6.78
CHEMBL4076662,,
CHEMBL208382,CC(c1cccc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)c1)N(C(=O)c1ccc(F)cc1)c1ccc(S(C)(=O)=O)cc1,9.3
CHEMBL207775,CC(C)(c1cc(-c2cccc(C(=O)Nc3ccccc3)c2)c2ncccc2c1)S(C)(=O)=O,8.23
CHEMBL208149,CC(C)(c1cc(-c2cccc(C(=O)Nc3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,9.3
CHEMBL3315249,CCCc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccc(Cl)s2)n1,5.61
CHEMBL3315253,Cc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccco2)n1,4.73
CHEMBL3315255,CCc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccc(F)cc2)n1,5.84
CHEMBL3315259,O=C(O)Cc1ccc(Oc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,5.73
CHEMBL3315271,CCc1nc(Nc2ccc(C#N)cc2)nc(-c2cccc(Cl)c2)n1,7.92
CHEMBL6028423,CCc1c(C)nc(-c2ccc(Cl)s2)nc1Nc1ccc(Cn2cccn2)cc1,
CHEMBL5899432,CCc1nc(Nc2ccc(NC(=O)NS(=O)(=O)NC)cc2)nc(-c2cccc(Cl)c2)n1,
CHEMBL5767849,CCc1c(C)nc(-c2ccc(Cl)s2)nc1Nc1ccc2c(c1)B(O)OC2,
CHEMBL2425745,CC(=O)c1ccc(C(=O)Nc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,7.68
CHEMBL2425743,O=C(Nc1c(Cl)cncc1Cl)c1ccc(CO)n2nc(C(F)(F)F)cc12,7.51
CHEMBL2425776,COc1cccc2c(C(=O)Nc3c(Cl)cncc3Cl)c(C(F)(F)F)nn12,5.21
CHEMBL2425766,COc1ccc(C(O)Cc2c(Cl)cncc2Cl)c2cc(C(F)(F)F)nn12,7.41
CHEMBL2315896,CCOC(=O)C1=CN(Cc2ccc(OC)c(OC)c2)C=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,5.8
CHEMBL2315889,CCOC(=O)C1=CN(Cc2ccc(OC)c(OC)c2)C=C(C(=O)OCC)C1c1c[nH]c2ccccc12,6.27
